SampName,SampNo,MeasNo,MeasDate,ListDate,Filename,S-DOB,S-Remark,Meas-Rmk,Site,Energy-I-Code,Integr.Time,ControlfileNo,Ctrlf-Name,Sigma,Support,Threshold,Unit,Data-Threshold,VOX-TV,VOX-BV,VOX-BV/TV,Conn-Dens.,TRI-SMI,DT-Tb.N,DT-Tb.Th,DT-Tb.Sp,DT-Tb.(1/N).SD,DT-Tb.Th.SD,DT-Tb.Sp.SD,Mean1,Mean2,Mean3,Mean4,Mean5,Mean-Units,TRI-TV,TRI-BV,TRI-BV/TV,TRI-BS,TRI-BS/BV,TRI-Tb.N,TRI-Tb.Th,TRI-Tb.Sp,TRI-DA,TRI-|H1|,TRI-|H2|,TRI-|H3|,TRI-H1x,TRI-H1y,TRI-H1z,TRI-H2x,TRI-H2y,TRI-H2z,TRI-H3x,TRI-H3y,TRI-H3z,El-Siz-X,El-Siz-Y,El-Siz-Z,Dim-X,Dim-Y,Dim-Z,Pos-X,Pos-Y,Pos-Z,MeasNumSlices,OperatorMeas,OperatorEval,CTDI[mGy],RAW-Dir,RAW-Label,IMA-Dir,IMA-Label,ScannerID
Pilot 1365_femurspine,10778,31710,8/29/2024 11:04,9/4/2024 13:10,V0031541,,,,Custom,E2_Imax,300,B31710,Spine ex-vivo,0.8,2,220,6,7208,1.6805,0.4696,0.2794,-,~    2.576,-,0.1285,0.3324,-,0.0337,0.0648,227.6713,916.0118,-,-,-,[mg HA/ccm],~    2.600,~    0.463,~    0.178,~    8.179,~   17.654,~    1.573,~    0.113,~    0.522,~    3.665,~    0.280,~    1.026,~    0.396,~    0.194,~   -0.200,~    0.013,~   -0.012,~    0.055,~    1.025,~   -0.285,~   -0.275,~    0.011,0.0105,0.0105,0.0105,224,220,47,752,1010,122,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031710],,DK0:[MICROCT.DATA.00010778.00031710],,5071
Pilot 1365_femurspine,10778,31711,8/29/2024 11:22,9/4/2024 13:10,V0031542,,,,Custom,E2_Imax,300,B31711,Spine ex-vivo,0.8,2,220,6,7208,1.0044,0.3355,0.334,-,~    0.545,-,0.068,0.1855,-,0.0266,0.0698,241.8945,799.5793,-,-,-,[mg HA/ccm],~    1.650,~    0.335,~    0.203,~   11.491,~   34.260,~    3.481,~    0.058,~    0.228,~    2.427,~    0.129,~    0.313,~    0.161,~   -0.031,~   -0.124,~    0.011,~    0.004,~    0.026,~    0.312,~   -0.156,~    0.039,~   -0.001,0.0105,0.0105,0.0105,224,140,47,751,842,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031711],,DK0:[MICROCT.DATA.00010778.00031711],,5071
Pilot 1365_femurspine,10778,31712,8/29/2024 11:41,9/4/2024 13:11,V0031543,,,,Custom,E2_Imax,300,B31712,Spine ex-vivo,0.8,2,220,6,7208,1.1927,0.5571,0.467,-,~    0.831,-,0.2406,!    0.010,-,0.0536,!    0.000,480.5148,1101.3113,-,-,-,[mg HA/ccm],~    1.646,~    0.548,~    0.333,~    4.773,~    8.700,~    1.449,~    0.229,~    0.460,~    9.381,~    0.329,~    3.091,~    0.467,~    0.164,~   -0.285,~   -0.017,~    0.176,~   -0.090,~    3.085,~   -0.404,~   -0.234,~    0.016,0.0105,0.0105,0.0105,200,160,46,793,1053,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010778.00031712],,DK0:[MICROCT.DATA.00010778.00031712],,5071
pilot 1366_femurspine,10779,31714,8/29/2024 12:34,9/12/2024 13:48,V0031545,,,,Custom,E2_Imax,300,B31714,Spine ex-vivo,0.8,2,220,6,7208,0.9543,0.3484,0.3651,-,~   -0.124,-,0.0663,0.19,-,0.0208,0.0734,265.5118,800.5717,-,-,-,[mg HA/ccm],~    1.934,~    0.350,~    0.181,~   11.416,~   32.611,~    2.950,~    0.061,~    0.277,~    2.759,~    0.125,~    0.346,~    0.145,~    0.065,~    0.107,~   -0.004,~    0.030,~   -0.005,~    0.345,~   -0.123,~    0.075,~    0.012,0.0105,0.0105,0.0105,204,180,47,786,909,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031714],,DK0:[MICROCT.DATA.00010779.00031714],,5071
pilot 1367_femurspine,10780,31717,8/29/2024 13:40,9/12/2024 13:50,V0031548,,,,Custom,E2_Imax,300,B31717,Spine ex-vivo,0.8,2,220,6,7208,0.9309,0.3428,0.3682,-,~   -0.250,-,0.0687,0.2364,-,0.0205,0.1197,271.0026,811.8842,-,-,-,[mg HA/ccm],~    1.884,~    0.344,~    0.182,~   10.720,~   31.130,~    2.844,~    0.064,~    0.287,~    2.643,~    0.127,~    0.337,~    0.157,~    0.109,~   -0.066,~    0.004,~   -0.011,~    0.004,~    0.337,~   -0.081,~   -0.135,~   -0.001,0.0105,0.0105,0.0105,172,208,47,902,909,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010780.00031717],,DK0:[MICROCT.DATA.00010780.00031717],,5071
pilot 1368_femurspine,10781,31720,9/3/2024 7:31,9/12/2024 14:22,V0031551,,,,Custom,E2_Imax,300,B31720,Spine ex-vivo,0.8,2,220,6,7208,0.9498,0.3904,0.411,-,~   -0.493,-,0.0754,0.1883,-,0.0284,0.1141,304.7416,794.6839,-,-,-,[mg HA/ccm],~    1.884,~    0.392,~    0.208,~   11.647,~   29.683,~    3.090,~    0.067,~    0.256,~    2.340,~    0.126,~    0.296,~    0.141,~    0.047,~   -0.117,~   -0.010,~   -0.003,~   -0.026,~    0.294,~    0.130,~    0.052,~    0.006,0.0105,0.0105,0.0105,208,172,47,725,1002,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010781.00031720],,DK0:[MICROCT.DATA.00010781.00031720],,5071
pilot 1369_femurspine,10782,31723,9/3/2024 8:51,9/12/2024 14:31,V0031554,,,,Custom,E2_Imax,300,B31723,Spine ex-vivo,0.8,2,220,6,7208,0.9682,0.3979,0.411,-,~   -0.444,-,0.067,0.16,-,0.0204,0.065,297.5307,759.2911,-,-,-,[mg HA/ccm],~    1.752,~    0.400,~    0.228,~   12.729,~   31.781,~    3.632,~    0.062,~    0.212,~    2.419,~    0.121,~    0.292,~    0.125,~    0.029,~   -0.116,~    0.014,~   -0.003,~    0.034,~    0.290,~    0.121,~    0.030,~   -0.002,0.0105,0.0105,0.0105,208,160,47,817,837,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010782.00031723],,DK0:[MICROCT.DATA.00010782.00031723],,5071
pilot 1366_femurspine,10779,31715,8/29/2024 12:53,9/12/2024 14:57,V0031546,,,,Custom,E2_Imax,300,B31715,Spine ex-vivo,0.8,2,220,6,7208,0.9247,0.4998,0.5404,-,~    0.886,-,0.2518,!    0.010,-,0.0473,!    0.000,567.773,1120.5625,-,-,-,[mg HA/ccm],~    1.949,~    0.491,~    0.252,~    4.041,~    8.215,~    1.036,~    0.243,~    0.721,~    9.294,~    0.307,~    2.857,~    0.415,~    0.126,~   -0.280,~   -0.001,~    0.180,~    0.070,~    2.850,~   -0.378,~   -0.170,~    0.028,0.0105,0.0105,0.0105,220,172,46,828,1052,3,51,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031715],,DK0:[MICROCT.DATA.00010779.00031715],,5071
pilot 1366_femurspine,10779,31713,8/29/2024 12:16,9/12/2024 14:58,V0031544,,,,Custom,E2_Imax,300,B31713,Spine ex-vivo,0.8,2,220,6,7208,1.2571,0.5159,0.4104,-,~    4.061,-,0.1798,0.3075,-,0.0444,0.0837,390.1474,993.6114,-,-,-,[mg HA/ccm],~    2.926,~    0.507,~    0.173,~    6.563,~   12.934,~    1.121,~    0.154,~    0.737,~    2.997,~    0.259,~    0.778,~    0.394,~    0.123,~   -0.228,~   -0.002,~    0.083,~    0.036,~    0.772,~   -0.344,~   -0.186,~    0.045,0.0105,0.0105,0.0105,252,220,47,767,1001,122,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010779.00031713],,DK0:[MICROCT.DATA.00010779.00031713],,5071
pilot 1370_femurspine,10783,31726,9/3/2024 10:07,9/23/2024 13:28,V0031557,,,,Custom,E2_Imax,300,B31726,Spine ex-vivo,0.8,2,220,6,7208,0.9924,0.4397,0.4431,-,~   -0.594,-,0.083,0.1548,-,0.0482,0.0746,312.7463,752.7418,-,-,-,[mg HA/ccm],~    2.004,~    0.442,~    0.220,~   13.010,~   29.417,~    3.245,~    0.068,~    0.240,~    2.184,~    0.115,~    0.252,~    0.140,~    0.112,~   -0.022,~   -0.009,~    0.018,~   -0.016,~    0.250,~    0.027,~    0.137,~    0.007,0.0105,0.0105,0.0105,164,232,47,986,897,165,213,Jane Doe,John Doe,0,DK0:[MICROCT.DATA.00010783.00031726],,DK0:[MICROCT.DATA.00010783.00031726],,5071
